epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2715,1.80341,24.8281,1.38707,0.67983,0.57341,0.58797,0.18654,1.84751,9.10975,1.39614,0.000662366,0.000662366,0.000662366
2,163.208,1.63905,19.2914,1.25168,0.67679,0.51786,0.5622,0.18982,1.87732,8.63339,1.39574,0.00132026,0.00132026,0.00132026
3,242.961,1.62088,16.1359,1.23468,0.91486,0.14925,0.40828,0.14267,1.87431,6.50204,1.37977,0.00196936,0.00196936,0.00196936
4,329.283,1.72983,10.7962,1.33908,0.65584,0.53313,0.5931,0.19501,1.91837,5.33906,1.42632,0.0019604,0.0019604,0.0019604
5,431.951,1.58245,7.77573,1.2428,0.69542,0.57985,0.62326,0.21353,1.86163,1.69193,1.38635,0.0019472,0.0019472,0.0019472
6,534.156,1.58602,5.2405,1.2554,0.7086,0.60516,0.63602,0.20834,1.90129,1.33442,1.41171,0.001934,0.001934,0.001934
7,616.414,1.64099,3.14361,1.33033,0.79953,0.64096,0.69371,0.23096,1.89382,1.2206,1.38939,0.0019208,0.0019208,0.0019208
8,705.618,1.53069,2.90962,1.17032,0.79182,0.67163,0.72892,0.24532,1.83146,1.67795,1.37372,0.0019076,0.0019076,0.0019076
9,796.067,1.55539,2.1491,1.23171,0.85264,0.66012,0.739,0.26423,1.81681,1.30948,1.36166,0.0018944,0.0018944,0.0018944
10,875.736,1.53569,2.15226,1.19828,0.80987,0.63095,0.71329,0.25153,1.86929,1.2862,1.38256,0.0018812,0.0018812,0.0018812
11,959.333,1.58679,1.68109,1.23492,0.81531,0.63988,0.73607,0.2686,1.82446,1.32185,1.35874,0.001868,0.001868,0.001868
12,1061.43,1.66558,1.55162,1.28548,0.81039,0.67839,0.74297,0.26831,1.80502,1.1742,1.35013,0.0018548,0.0018548,0.0018548
13,1160.6,1.57657,1.47566,1.25761,0.79374,0.66567,0.72871,0.25856,1.77473,1.28077,1.33181,0.0018416,0.0018416,0.0018416
14,1254.86,1.49687,1.37789,1.20757,0.85764,0.71124,0.77629,0.27729,1.8417,1.02801,1.35661,0.0018284,0.0018284,0.0018284
15,1342.56,1.51232,1.32941,1.19079,0.83462,0.6994,0.76027,0.26892,1.84789,1.26272,1.35645,0.0018152,0.0018152,0.0018152
16,1429.3,1.57667,1.17777,1.23817,0.84171,0.75496,0.7938,0.2826,1.79481,1.00753,1.33068,0.001802,0.001802,0.001802
17,1520.16,1.5339,1.16074,1.20916,0.85165,0.71528,0.7786,0.27921,1.88187,0.97952,1.37896,0.0017888,0.0017888,0.0017888
18,1608.48,1.51167,1.1908,1.20905,0.81888,0.63242,0.72376,0.26865,1.89844,1.18713,1.37077,0.0017756,0.0017756,0.0017756
19,1695.55,1.5661,1.23266,1.24362,0.8545,0.72248,0.79031,0.28931,1.82504,0.94616,1.33672,0.0017624,0.0017624,0.0017624
20,1779.16,1.40002,1.04252,1.12325,0.85893,0.71032,0.78984,0.27872,1.84714,1.14467,1.35737,0.0017492,0.0017492,0.0017492
21,1862.33,1.46284,1.05882,1.16396,0.80236,0.6766,0.73042,0.2508,1.88398,1.19331,1.36469,0.001736,0.001736,0.001736
22,1945.76,1.46456,1.0546,1.1617,0.84891,0.71925,0.77143,0.28219,1.82055,1.13276,1.32127,0.0017228,0.0017228,0.0017228
23,2029.66,1.49254,1.04868,1.16868,0.88095,0.74143,0.82378,0.30798,1.7922,0.90577,1.34289,0.0017096,0.0017096,0.0017096
24,2112.77,1.48337,0.97326,1.19034,0.88003,0.72044,0.79518,0.29715,1.84119,1.05528,1.34666,0.0016964,0.0016964,0.0016964
25,2203.07,1.43646,0.97355,1.16534,0.85736,0.70363,0.77483,0.28746,1.81549,1.23412,1.3334,0.0016832,0.0016832,0.0016832
26,2290.57,1.47747,1.11231,1.19652,0.84987,0.7357,0.79258,0.28332,1.81,1.00613,1.34623,0.00167,0.00167,0.00167
27,2374.75,1.46561,1.04306,1.15894,0.88137,0.75915,0.8235,0.3003,1.79682,0.96121,1.32515,0.0016568,0.0016568,0.0016568
28,2465.06,1.50228,0.95554,1.17409,0.85934,0.75198,0.80071,0.27477,1.8469,1.00679,1.37119,0.0016436,0.0016436,0.0016436
29,2549.62,1.43495,1.00399,1.12096,0.84397,0.74206,0.80322,0.29384,1.85336,1.04078,1.36017,0.0016304,0.0016304,0.0016304
30,2635.86,1.48238,0.92799,1.14453,0.87227,0.74702,0.80968,0.30037,1.77023,0.92266,1.30984,0.0016172,0.0016172,0.0016172
31,2719.63,1.47272,0.90312,1.19506,0.87825,0.72997,0.82235,0.32034,1.78672,0.93511,1.32843,0.001604,0.001604,0.001604
32,2806.5,1.51412,0.95888,1.1818,0.83637,0.75298,0.79384,0.28881,1.80412,1.01605,1.33011,0.0015908,0.0015908,0.0015908
33,2890.78,1.45185,0.87439,1.12168,0.84607,0.73313,0.80364,0.29739,1.89343,1.02151,1.36045,0.0015776,0.0015776,0.0015776
34,2974.65,1.41929,0.86734,1.10687,0.83697,0.75694,0.80269,0.28895,1.89315,0.97798,1.41459,0.0015644,0.0015644,0.0015644
35,3057.74,1.46094,0.86873,1.15301,0.86105,0.77183,0.83762,0.32213,1.83019,0.84139,1.34219,0.0015512,0.0015512,0.0015512
36,3143.15,1.45902,0.8386,1.18381,0.86715,0.75765,0.81426,0.30042,1.86657,0.85249,1.37064,0.001538,0.001538,0.001538
37,3227.28,1.45178,0.86049,1.14734,0.85213,0.73115,0.8115,0.30441,1.83554,0.87604,1.3417,0.0015248,0.0015248,0.0015248
38,3312.85,1.47827,0.84363,1.1598,0.89319,0.78075,0.84882,0.31096,1.79256,0.79861,1.31722,0.0015116,0.0015116,0.0015116
39,3398.29,1.43523,0.81554,1.13591,0.8619,0.74306,0.81689,0.29889,1.84284,0.93813,1.3524,0.0014984,0.0014984,0.0014984
40,3482.05,1.38896,0.83573,1.09543,0.9035,0.7802,0.8492,0.31638,1.84662,0.87726,1.36845,0.0014852,0.0014852,0.0014852
41,3568.95,1.41632,0.79933,1.14003,0.87312,0.79874,0.84973,0.31618,1.80822,0.90676,1.35747,0.001472,0.001472,0.001472
42,3655.59,1.36411,0.799,1.08388,0.84762,0.81123,0.84171,0.30451,1.87549,0.8437,1.38615,0.0014588,0.0014588,0.0014588
