epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8458,1.94435,11.4488,1.4717,0.65329,0.53968,0.58435,0.18005,1.93069,3.03582,1.50598,0.000662366,0.000662366,0.000662366
2,129.159,1.83523,3.89887,1.44103,0.67943,0.52877,0.55677,0.16613,1.85258,151.832,1.46141,0.00132026,0.00132026,0.00132026
3,191.588,1.88793,3.08668,1.46865,0.47396,0.5754,0.4031,0.12744,1.89791,37.0873,1.57447,0.00196936,0.00196936,0.00196936
4,252.628,1.83219,1.87627,1.41211,0.67842,0.53571,0.57627,0.19024,1.89633,1.54492,1.47659,0.0019604,0.0019604,0.0019604
5,314.772,1.73182,2.65757,1.39272,0.78715,0.6379,0.6845,0.23628,1.76385,1.79605,1.49133,0.0019472,0.0019472,0.0019472
6,376.735,1.71763,1.81611,1.36769,0.74062,0.53274,0.61462,0.20658,1.83542,1.41575,1.41555,0.001934,0.001934,0.001934
7,439.179,1.82501,1.71909,1.47271,0.80047,0.6368,0.71264,0.24822,1.85699,1.27078,1.45349,0.0019208,0.0019208,0.0019208
8,502.081,1.71595,1.35615,1.37188,0.82311,0.70635,0.76025,0.26456,1.90905,1.0728,1.47874,0.0019076,0.0019076,0.0019076
9,563.98,1.6561,1.40031,1.31941,0.82015,0.58358,0.70544,0.26336,1.85566,1.32463,1.44034,0.0018944,0.0018944,0.0018944
10,627.253,1.70482,1.31039,1.35735,0.82722,0.68056,0.75105,0.26301,1.90973,1.08988,1.46936,0.0018812,0.0018812,0.0018812
11,690.427,1.73166,1.32269,1.37116,0.83361,0.70833,0.77988,0.27834,1.81135,1.02732,1.40901,0.001868,0.001868,0.001868
12,754.835,1.7179,1.24488,1.36827,0.83726,0.67857,0.76198,0.25876,1.85713,1.1352,1.45431,0.0018548,0.0018548,0.0018548
13,817.998,1.71411,1.1694,1.35716,0.83998,0.72906,0.78283,0.257,1.86751,1.03864,1.46116,0.0018416,0.0018416,0.0018416
14,879.752,1.67761,1.19816,1.36101,0.83128,0.70872,0.77243,0.26328,1.94255,1.14672,1.48167,0.0018284,0.0018284,0.0018284
15,943.879,1.62391,1.11055,1.34219,0.82109,0.73115,0.78012,0.2761,1.89291,1.05286,1.45041,0.0018152,0.0018152,0.0018152
16,1007.34,1.66722,1.10184,1.33952,0.85736,0.71627,0.78496,0.27983,1.83728,0.99794,1.41795,0.001802,0.001802,0.001802
17,1069.78,1.61778,1.12252,1.29911,0.86544,0.70187,0.77522,0.27401,1.82495,1.01244,1.42018,0.0017888,0.0017888,0.0017888
18,1131.89,1.56628,1.06346,1.2713,0.8374,0.71016,0.76709,0.26403,1.88302,1.0152,1.4609,0.0017756,0.0017756,0.0017756
19,1191.95,1.62422,1.07017,1.3202,0.79606,0.6756,0.72341,0.23832,1.85928,1.116,1.45728,0.0017624,0.0017624,0.0017624
20,1254.58,1.58678,0.99984,1.28738,0.84063,0.74107,0.79395,0.27844,1.86643,0.96293,1.44464,0.0017492,0.0017492,0.0017492
21,1315.07,1.62803,1.1661,1.2971,0.84396,0.66535,0.74675,0.25394,1.9272,1.14674,1.50183,0.001736,0.001736,0.001736
